South Park Mexican	South Park Mexican	http://fr.dbpedia.org/resource/South_Park_Mexican	http://dbpedia.org/resource/South_Park_Mexican
Shapur III	Shapur III	http://fr.dbpedia.org/resource/Shapur_III	http://dbpedia.org/resource/Shapur_III
Chahpuhr III	Shapur III	http://fr.dbpedia.org/resource/Shapur_III	http://dbpedia.org/resource/Shapur_III
Châhpûhr III	Shapur III	http://fr.dbpedia.org/resource/Shapur_III	http://dbpedia.org/resource/Shapur_III
Salvatore De Giorgi	Salvatore De Giorgi	http://fr.dbpedia.org/resource/Salvatore_De_Giorgi	http://dbpedia.org/resource/Salvatore_De_Giorgi
Sven Butenschön	Sven Butenschön	http://fr.dbpedia.org/resource/Sven_Butenschön	http://dbpedia.org/resource/Sven_Butenschön
Sven Butenschon	Sven Butenschön	http://fr.dbpedia.org/resource/Sven_Butenschön	http://dbpedia.org/resource/Sven_Butenschön
Sarona Reiher	Sarona Reiher	http://fr.dbpedia.org/resource/Sarona_Reiher	http://dbpedia.org/resource/Tamina_Snuka
Sarona Snuka	Sarona Reiher	http://fr.dbpedia.org/resource/Sarona_Reiher	http://dbpedia.org/resource/Tamina_Snuka
Tamina	Sarona Reiher	http://fr.dbpedia.org/resource/Sarona_Reiher	http://dbpedia.org/resource/Tamina_Snuka
Tamina Snuka	Sarona Reiher	http://fr.dbpedia.org/resource/Sarona_Reiher	http://dbpedia.org/resource/Tamina_Snuka
Sachiko Ito	Sachiko Ito	http://fr.dbpedia.org/resource/Sachiko_Ito	http://dbpedia.org/resource/Sachiko_Ito
Simona Krupeckaitė	Simona Krupeckaitė	http://fr.dbpedia.org/resource/Simona_Krupeckaitė	http://dbpedia.org/resource/Simona_Krupeckaitė
Simona Krupeckaite	Simona Krupeckaitė	http://fr.dbpedia.org/resource/Simona_Krupeckaitė	http://dbpedia.org/resource/Simona_Krupeckaitė
Souad Amidou	Souad Amidou	http://fr.dbpedia.org/resource/Souad_Amidou	http://dbpedia.org/resource/Souad_Amidou
Soronzonboldyn Battsetseg	Soronzonboldyn Battsetseg	http://fr.dbpedia.org/resource/Soronzonboldyn_Battsetseg	http://dbpedia.org/resource/Soronzonboldyn_Battsetseg
